student_id,strata,semester,ip_semester,ipk_total,sks_semester,total_sks,sks_lulus,sks_tidak_lulus,label_kelulusan
1,S2,1,3.209,3.209,10,10,10,0,lulus_tepat_waktu
1,S2,2,3.505,3.349,9,19,19,0,lulus_tepat_waktu
1,S2,3,3.864,3.568,14,33,32,1,lulus_tepat_waktu
1,S2,4,3.62,3.581,11,44,43,1,lulus_tepat_waktu
2,S1,1,2.186,2.186,22,22,18,4,lulus_terlambat
2,S1,2,1.997,2.101,18,40,30,10,lulus_terlambat
2,S1,3,2.072,2.093,16,56,44,12,lulus_terlambat
2,S1,4,2.361,2.158,18,74,60,14,lulus_terlambat
2,S1,5,2.33,2.19,17,91,74,17,lulus_terlambat
2,S1,6,2.079,2.174,15,106,87,19,lulus_terlambat
2,S1,7,2.386,2.205,18,124,103,21,lulus_terlambat
2,S1,8,2.167,2.201,16,140,117,23,lulus_terlambat
2,S1,9,2.396,2.221,16,156,131,25,lulus_terlambat
2,S1,10,2.364,2.233,15,171,143,28,lulus_terlambat
2,S1,11,2.236,2.234,16,187,157,30,lulus_terlambat
3,S1,1,2.772,2.772,22,22,20,2,lulus_terlambat
3,S1,2,2.59,2.688,19,41,38,3,lulus_terlambat
3,S1,3,2.494,2.624,20,61,56,5,lulus_terlambat
3,S1,4,2.426,2.585,15,76,69,7,lulus_terlambat
3,S1,5,2.181,2.518,15,91,81,10,lulus_terlambat
3,S1,6,2.862,2.572,17,108,97,11,lulus_terlambat
3,S1,7,2.924,2.627,20,128,116,12,lulus_terlambat
3,S1,8,2.943,2.668,19,147,134,13,lulus_terlambat
3,S1,9,2.303,2.626,19,166,151,15,lulus_terlambat
4,S1,1,3.077,3.077,18,18,17,1,lulus_tepat_waktu
4,S1,2,2.936,2.998,23,41,38,3,lulus_tepat_waktu
4,S1,3,2.92,2.973,19,60,56,4,lulus_tepat_waktu
4,S1,4,2.671,2.904,18,78,73,5,lulus_tepat_waktu
4,S1,5,3.033,2.93,20,98,93,5,lulus_tepat_waktu
4,S1,6,3.163,2.971,21,119,114,5,lulus_tepat_waktu
4,S1,7,2.902,2.961,21,140,133,7,lulus_tepat_waktu
4,S1,8,2.523,2.909,19,159,151,8,lulus_tepat_waktu
5,S1,1,2.848,2.848,20,20,18,2,lulus_terlambat
5,S1,2,2.679,2.766,19,39,36,3,lulus_terlambat
5,S1,3,2.173,2.565,20,59,52,7,lulus_terlambat
5,S1,4,2.71,2.596,16,75,67,8,lulus_terlambat
5,S1,5,2.529,2.582,20,95,86,9,lulus_terlambat
5,S1,6,2.024,2.489,19,114,102,12,lulus_terlambat
5,S1,7,2.528,2.494,16,130,117,13,lulus_terlambat
5,S1,8,2.939,2.553,20,150,135,15,lulus_terlambat
5,S1,9,2.512,2.548,20,170,154,16,lulus_terlambat
6,S1,1,3.003,3.003,18,18,18,0,lulus_tepat_waktu
6,S1,2,3.243,3.135,22,40,40,0,lulus_tepat_waktu
6,S1,3,3.55,3.291,24,64,64,0,lulus_tepat_waktu
6,S1,4,3.055,3.232,21,85,84,1,lulus_tepat_waktu
6,S1,5,3.611,3.316,24,109,107,2,lulus_tepat_waktu
6,S1,6,3.484,3.345,23,132,129,3,lulus_tepat_waktu
6,S1,7,2.72,3.256,22,154,150,4,lulus_tepat_waktu
7,S1,1,2.787,2.787,19,19,18,1,lulus_tepat_waktu
7,S1,2,2.429,2.599,21,40,37,3,lulus_tepat_waktu
7,S1,3,2.723,2.636,17,57,53,4,lulus_tepat_waktu
7,S1,4,2.779,2.673,20,77,72,5,lulus_tepat_waktu
7,S1,5,2.384,2.613,20,97,90,7,lulus_tepat_waktu
7,S1,6,2.522,2.599,18,115,107,8,lulus_tepat_waktu
7,S1,7,2.991,2.655,19,134,125,9,lulus_tepat_waktu
7,S1,8,3.019,2.704,21,155,146,9,lulus_tepat_waktu
8,S1,1,2.597,2.597,20,20,18,2,lulus_tepat_waktu
8,S1,2,3.016,2.795,18,38,35,3,lulus_tepat_waktu
8,S1,3,2.929,2.847,24,62,57,5,lulus_tepat_waktu
8,S1,4,3.356,2.976,21,83,77,6,lulus_tepat_waktu
8,S1,5,3.296,3.043,22,105,99,6,lulus_tepat_waktu
8,S1,6,3.425,3.112,23,128,122,6,lulus_tepat_waktu
8,S1,7,2.554,3.033,21,149,142,7,lulus_tepat_waktu
8,S1,8,3.481,3.088,21,170,163,7,lulus_tepat_waktu
9,S1,1,3.793,3.793,19,19,18,1,lulus_tepat_waktu
9,S1,2,3.598,3.689,22,41,40,1,lulus_tepat_waktu
9,S1,3,4.0,3.804,24,65,64,1,lulus_tepat_waktu
9,S1,4,3.793,3.801,21,86,85,1,lulus_tepat_waktu
9,S1,5,3.347,3.709,22,108,106,2,lulus_tepat_waktu
9,S1,6,3.337,3.643,23,131,128,3,lulus_tepat_waktu
9,S1,7,3.202,3.582,21,152,149,3,lulus_tepat_waktu
10,S1,1,3.115,3.115,21,21,20,1,lulus_terlambat
10,S1,2,2.768,2.937,22,43,40,3,lulus_terlambat
10,S1,3,2.747,2.875,21,64,59,5,lulus_terlambat
10,S1,4,2.489,2.79,18,82,75,7,lulus_terlambat
10,S1,5,2.882,2.806,17,99,90,9,lulus_terlambat
10,S1,6,2.558,2.768,18,117,106,11,lulus_terlambat
10,S1,7,2.375,2.71,20,137,122,15,lulus_terlambat
10,S1,8,3.176,2.764,18,155,139,16,lulus_terlambat
10,S1,9,2.618,2.747,21,176,159,17,lulus_terlambat
11,S1,1,3.337,3.337,19,19,18,1,lulus_tepat_waktu
11,S1,2,3.073,3.195,22,41,40,1,lulus_tepat_waktu
11,S1,3,3.214,3.202,23,64,62,2,lulus_tepat_waktu
11,S1,4,4.0,3.399,21,85,83,2,lulus_tepat_waktu
11,S1,5,3.49,3.419,24,109,107,2,lulus_tepat_waktu
11,S1,6,4.0,3.513,21,130,128,2,lulus_tepat_waktu
11,S1,7,3.833,3.563,24,154,152,2,lulus_tepat_waktu
12,S1,1,2.481,2.481,18,18,16,2,lulus_tepat_waktu
12,S1,2,2.702,2.591,18,36,32,4,lulus_tepat_waktu
12,S1,3,2.607,2.597,18,54,49,5,lulus_tepat_waktu
12,S1,4,2.561,2.587,21,75,68,7,lulus_tepat_waktu
12,S1,5,2.656,2.601,20,95,87,8,lulus_tepat_waktu
12,S1,6,3.189,2.708,21,116,107,9,lulus_tepat_waktu
12,S1,7,2.676,2.703,21,137,127,10,lulus_tepat_waktu
12,S1,8,2.639,2.695,18,155,144,11,lulus_tepat_waktu
13,S2,1,2.678,2.678,11,11,10,1,dropout
13,S2,2,2.259,2.479,10,21,18,3,dropout
13,S2,3,2.416,2.454,14,35,30,5,dropout
13,S2,4,2.325,2.419,13,48,41,7,dropout
13,S2,5,1.39,2.256,9,57,48,9,dropout
13,S2,6,2.249,2.255,13,70,60,10,dropout
13,S2,7,1.633,2.164,12,82,69,13,dropout
13,S2,8,1.7,2.105,12,94,78,16,dropout
14,S1,1,2.962,2.962,19,19,17,2,lulus_terlambat
14,S1,2,2.925,2.943,21,40,36,4,lulus_terlambat
